,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_epochs,param_num_neurons,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5698733329772949,0.025897437732103887,0.06052748362223307,0.0027861879103825127,softmax,50,10,8,SGD,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'SGD'}",-0.712886584798495,-0.7614525645971298,-0.6717065324385961,-0.7153485606114071,0.03667999968854657,2976
1,0.7082763512929281,0.028101095021975005,0.0677032470703125,0.007367101721193527,softmax,50,10,8,RMSprop,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'RMSprop'}",-0.6454428990681966,-0.6500057319800059,-0.5754337201515833,-0.6236274503999286,0.034128986580158664,2238
2,0.611249049504598,0.039805747940245835,0.05832171440124512,0.005903765136584113,softmax,50,10,8,Adagrad,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'Adagrad'}",-0.6449243595202764,-0.6473345726728439,-0.6069007188081741,-0.6330532170004315,0.01851876801395854,2309
3,0.7231597105662028,0.017181407140084138,0.05896608034769694,0.004543808095265763,softmax,50,10,8,Adadelta,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'Adadelta'}",-0.6648639897505443,-0.6974235733350118,-0.7508359611034393,-0.7043745080629985,0.03544038736404461,2918
4,0.7225756645202637,0.00543902889263468,0.053304036458333336,0.0023557278608121956,softmax,50,10,8,Adam,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'Adam'}",-0.6872364401817321,-0.6034316470225652,-0.669706811507543,-0.6534582995706134,0.03609082472721742,2507
5,0.6298113663991293,0.0061656588950699635,0.06468502680460612,0.012009005788965204,softmax,50,10,8,Adamax,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'Adamax'}",-0.6941724946101506,-0.6952939649422963,-0.6050578773021698,-0.6648414456182056,0.04227584577805678,2600
6,0.959977388381958,0.026602177822718415,0.062497854232788086,3.371747880871523e-07,softmax,50,10,8,Nadam,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 8, 'optimizer': 'Nadam'}",-0.6559842497110366,-0.6403898576895396,-0.6127638399600983,-0.6363793157868914,0.017871099379061214,2346
7,0.48980077107747394,0.010912054333657276,0.0534056822458903,0.005159652968868099,softmax,50,10,16,SGD,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'SGD'}",-0.7189790765444438,-0.662496758500735,-0.6824935893217723,-0.687989808122317,0.02338403128526339,2796
8,0.661408265431722,0.007364515531390481,0.053484598795572914,0.0093507561057156,softmax,50,10,16,RMSprop,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'RMSprop'}",-0.6894584437211354,-0.6746126770973205,-0.6162475238243739,-0.6601062148809432,0.03159944917831,2556
9,0.6381830374399821,0.046609837677668874,0.06512188911437988,0.0037232576470555274,softmax,50,10,16,Adagrad,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adagrad'}",-0.6498199035724004,-0.6293359160423279,-0.6607008536656698,-0.646618891093466,0.013003196753023274,2455
10,0.8322784105936686,0.08365249135030019,0.06042067209879557,0.01032097864427078,softmax,50,10,16,Adadelta,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adadelta'}",-0.6563073039054871,-0.6527970830599467,-0.6639837920665741,-0.6576960596773359,0.004671337891519767,2541
11,0.85639754931132,0.04754266886531658,0.0619657039642334,0.0040787804072432345,softmax,50,10,16,Adam,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adam'}",-0.694370158513387,-0.7219503998756409,-0.6799859980742137,-0.6987688521544139,0.017411952483827788,2894
12,0.7086059252421061,0.031442694100232454,0.07262627283732097,0.00956251315489814,softmax,50,10,16,Adamax,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adamax'}",-0.675777918100357,-0.6524542053540547,-0.6772448778152466,-0.6684923337565528,0.011356471420664017,2627
13,0.9647031625111898,0.06655032795495942,0.05208094914754232,0.007366370051241144,softmax,50,10,16,Nadam,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Nadam'}",-0.713474694887797,-0.6979895134766897,-0.6420314143101374,-0.6844985408915414,0.030687025932734344,2757
14,0.5613421599070231,0.0009421225989651288,0.053303798039754234,0.00124570569440465,softmax,50,10,32,SGD,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'SGD'}",-0.6900691409905751,-0.7067598064740499,-0.6857010722160339,-0.6941766732268864,0.009074559234169832,2873
15,0.6279575824737549,0.025084745301222715,0.05728650093078613,0.0073637293254292056,softmax,50,10,32,RMSprop,"{'activation': 'softmax', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'RMSprop'}",-0.698968764146169,-0.6934782465298971,-0.6662802716096242,-0.6862424274285633,0.014292240193623839,2777
